"Variable / Field Name" "Form Name" "CTCC Name" "Section Header" "Field Type" "Field Label" "Choices, Calculations, OR Slider Labels" "Field Note" "Text Validation Type OR Show Slider Number"
"141" "mdsupdrsfreezingscore_spd" "participant_mdsupdrs_survey" "NP2FREZ" "2.13 FREEZING" "radio" "Over the past week, on your usual day when walking, do you suddenly stop or freeze as if your feet are stuck to the floor." "0, 0 (Normal: Not at all (no problems)) | 1, 1 (Slight: I briefly freeze but I can easily start walking again. I do not need help from someone else or a walking aid (cane or walker) because of freezing) | 2, 2 (Mild: I freeze and have trouble starting to walk again, but I do not need someone's help or a walking aid (cane or walker) because of freezing) | 3, 3 (Moderate: When I freeze I have a lot of trouble starting to walk again and, because of freezing, I sometimes need to use a walking aid or need someone else's help) | 4, 4 (Severe: Because of freezing, most or all of the time, I need to use a walking aid or someone's help)" NA NA
"142" "mdsupdrsprimrysrcinfotyp_spd" "mdsupdrs_physician_exam" "NUPSOURC" "Part I: Non-Motor Aspects of Experiences of Daily Living (nM-EDL)
" "radio" "Primary source of information" "1, Caregiver | 2, Patient | 3, Patient and Caregiver in Equal Proportion" NA NA
"143" "mds_cog" "mdsupdrs_physician_exam" "NP1COG" NA "radio" "1.1 COGNITIVE IMPAIRMENT" "0, 0 (Normal: No cognitive impairment.) | 1, 1 (Slight: Impairment appreciated by patient or caregiver with no concrete interference with the patient's ability to carry out normal activities and social interactions.) | 2, 2 (Mild: Clinically evident cognitive dysfunction, but only minimal interference with the patient's ability to carry out normal activities and social interactions.) | 3, 3 (Moderate: Cognitive deficits interfere with but do not preclude the patient's ability to carry out normal activities and social interactions.) | 4, 4 (Severe: Cognitive dysfunction precludes the patient's ability to carry out normal activities and social interactions.)" NA NA
"144" "mds_psy" "mdsupdrs_physician_exam" "NP1HALL" NA "radio" "1.2 HALLUCINATIONS AND PSYCHOSIS" "0, 0 (Normal: No hallucinations or psychotic behavior.) | 1, 1 (Slight: Illusions or non-formed hallucinations, but patient recognizes them without loss of insight.) | 2, 2 (Mild: Formed hallucinations independent of environmental stimuli. No loss of insight.) | 3, 3 (Moderate: Formed hallucinations with loss of insight.) | 4, 4 (Severe: Patient has delusions or paranoia.)" NA NA
"145" "mds_dep" "mdsupdrs_physician_exam" "NP1DPRS" NA "radio" "1.3 DEPRESSED MOOD
" "0, 0 (Normal: No depressed mood.) | 1, 1 (Slight: Episodes of depressed mood that are not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities.) | 2, 2 (Mild: Depressed mood that is sustained over days, but without interference with normal activities and social interactions.) | 3, 3 (Moderate: Depressed mood that interferes with, but does not preclude, the patient's ability to carry out normal activities and social interactions.) | 4, 4 (Severe: Depressed mood precludes patient's ability to carry out normal activities and social interactions.)" NA NA
"146" "mds_anx" "mdsupdrs_physician_exam" "NP1ANXS" NA "radio" "1.4 ANXIOUS MOOD" "0, 0 (Normal: No anxious feelings.) | 1, 1 (Slight: Anxious feelings present but not sustained for more than one day at a time. No interference with patient's ability to carry out normal activities and social interactions.) | 2, 2 (Mild: Anxious feelings are sustained over more than one day at a time, but without interference with patient's ability to carry out normal activities and social interactions.) | 3, 3 (Moderate: Anxious feelings interfere with, but do not preclude, the patient's ability to carry out normal activities and social interactions.) | 4, 4 (Severe: Anxious feelings preclude patient's ability to carry out normal activities and social interactions.)" NA NA
"147" "mds_apathy" "mdsupdrs_physician_exam" "NP1APAT" NA "radio" "1.5 APATHY" "0, 0 (Normal: No apathy.) | 1, 1 (Slight: Apathy appreciated by patient and/or caregiver, but no interference with daily activities and social interactions.) | 2, 2 (Mild: Apathy interferes with isolated activities and social interactions.) | 3, 3 (Moderate: Apathy interferes with most activities and social interactions.) | 4, 4 (Severe: Passive and withdrawn, complete loss of initiative.)" NA NA
"148" "mds_dop" "mdsupdrs_physician_exam" "NP1DDS" NA "radio" "1.6 FEATURES OF DOPAMINE DYSREGULATION SYNDROME" "0, 0 (Normal: No problems present.) | 1, 1 (Slight: Problems are present but usually do not cause any difficulties for the patient or family/caregiver.) | 2, 2 (Mild: Problems are present and usually cause a few difficulties in the patient's personal and family life.) | 3, 3 (Moderate: Problems are present and usually cause a lot of difficulties in the patient's personal and family life.) | 4, 4 (Severe: Problems are present and preclude the patient's ability to carry out normal activities or social interactions or to maintain previous standards in personal and family life.)" NA NA
"149" "mdsupdrsoffon" "mdsupdrs_physician_exam" NA "Part III: Motor Examination" "yesno" "Is the participant completing an OFF/ON assessment?" NA NA NA
"150" "time_mdsupdrs" "mdsupdrs_physician_exam" NA "Part III: Motor Examination [OFF]" "text" "Current Time" NA NA "datetime_mdy"
"151" "mdsupdrsptntprknsnmedind_spd" "mdsupdrs_physician_exam" "PDMEDYN" NA "yesno" "3a Is the patient on medication for treating the symptoms of Parkinson's Disease?" NA NA NA
"152" "mdsupdrsptclinstateprknsnm" "mdsupdrs_physician_exam" "PDSTATE" NA "radio" "3b If the patient is receiving medication for treating the symptoms of Parkinson's Disease, mark the patient's clinical state using the following definitions:" "0, ON (On is the typical functional state when patients are receiving medication and have a good response) | 1, OFF (Off is the typical functional state when patients have a poor response in spite of taking medications.)" NA NA
"153" "mdsupdrsptntuseldopaind_spd" "mdsupdrs_physician_exam" "ONLDOPA" NA "yesno" "3c Is the patient on Levodopa?" NA NA NA
"154" "mdsupdrslstldopadosetm_spd" "mdsupdrs_physician_exam" "LSTDSMIN" NA "text" "3.C1 If yes, minutes since last levodopa dose:" NA "Minute" "number"
"155" "mdsupdrsfreeflowspeechscor" "mdsupdrs_physician_exam" "NP3SPCH" NA "radio" "3.1 SPEECH" "0, 0 (Normal: No speech problems.) | 1, 1 (Slight: Loss of modulation, diction or volume, but still all words easy to understand.) | 2, 2 (Mild: Loss of modulation, diction, or volume, with a few words unclear, but the overall sentences easy to follow.) | 3, 3 (Moderate: Speech is difficult to understand to the point that some, but not most, sentences are poorly understood.) | 4, 4 (Severe: Most speech is difficult to understand or unintelligible.)" NA NA
"156" "mdsupdrsfacialexprscore_spd" "mdsupdrs_physician_exam" "NP3FACXP" NA "radio" "3.2 FACIAL EXPRESSION" "0, 0 (Normal: Normal facial expression.) | 1, 1 (Slight: Minimal masked faces manifested only by decreased frequency of blinking.) | 2, 2 (Mild: In addition to decreased eye-blink frequency, Masked faces present in the lower face as well, namely fewer movements around the mouth, such as less spontaneous smiling, but lips not parted.) | 3, 3 (Moderate: Masked faces with lips parted some of the time when the mouth is at rest.) | 4, 4 (Severe: Masked faces with lips parted most of the time when the mouth is at rest.)" NA NA
"157" "mdsupdrsrigidityneck" "mdsupdrs_physician_exam" "NP3RIGN" NA "radio" "3.3 RIGIDITY - Neck" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"158" "mdsupdrsrigidityrue" "mdsupdrs_physician_exam" "NP3RIGRU" NA "radio" "3.3 RIGIDITY - RUE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"159" "mdsupdrsrigiditylue" "mdsupdrs_physician_exam" "NP3RIGLU" NA "radio" "3.3 RIGIDITY - LUE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"160" "mdsupdrsrigidityrle" "mdsupdrs_physician_exam" "NP3RIGRL" NA "radio" "3.3 RIGIDITY - RLE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"161" "mdsupdrsrigiditylle" "mdsupdrs_physician_exam" "NP3RIGLL" NA "radio" "3.3 RIGIDITY - LLE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"162" "mdsupdrsfingertppngrtehnds" "mdsupdrs_physician_exam" "NP3FTAPR" NA "radio" "3.4 FINGER TAPPING - Right" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"163" "mdsupdrsfingertppnglfthnds" "mdsupdrs_physician_exam" "NP3FTAPL" NA "radio" "3.4 FINGER TAPPING - Left" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the tapping movement b) slight slowing c) the amplitude decrements near the end of the 10 taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during tapping b) mild slowing c) the amplitude decrements midway in the 10-tap sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during tapping or at least one longer arrest (freeze) in ongoing movement b) moderate slowing c) the amplitude decrements starting after the 1st tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"164" "mdsupdrsrtehndscore_spd" "mdsupdrs_physician_exam" "NP3HMOVR" NA "radio" "3.5 HAND MOVEMENTS - Right" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"165" "mdsupdrslfthndscore_spd" "mdsupdrs_physician_exam" "NP3HMOVL" NA "radio" "3.5 HAND MOVEMENTS - Left" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) the amplitude decrements starting after the 1st open-and-close sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"166" "mdsupdrsprontsupnrthndmvmt" "mdsupdrs_physician_exam" "NP3PRSPR" NA "radio" "3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS - Right" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"167" "pronatsupinlfthndmvmntscor" "mdsupdrs_physician_exam" "NP3PRSPL" NA "radio" "3.6 PRONATION-SUPINATION MOVEMENTS OF HANDS - Left" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement b) slight slowing c) the amplitude decrements near the end of the sequence.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowing, c) the amplitude decrements midway in the sequence.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing c) the amplitude decrements starting after the 1st supination-pronation sequence.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"168" "rtefttoetppngscore_spd" "mdsupdrs_physician_exam" "NP3TTAPR" NA "radio" "3.7 TOE TAPPING - Right" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"169" "mdsupdrslftfttoetppngscore" "mdsupdrs_physician_exam" "NP3TTAPL" NA "radio" "3.7 TOE TAPPING - Left" "0, 0 (Normal: No problem.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions, or hesitations of the tapping movement, b) slight slowing c) amplitude decrements near the end of the ten taps.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the tapping movements, b) mild slowing, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the tapping movements or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"170" "mdsupdrslegagiltyrtelegsco" "mdsupdrs_physician_exam" "NP3LGAGR" NA "radio" "3.8 LEG AGILITY - Right" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"171" "mdsupdrslegagiltylftlegsco" "mdsupdrs_physician_exam" "NP3LGAGL" NA "radio" "3.8 LEG AGILITY - Left" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Any of the following: a) the regular rhythm is broken with one or two interruptions or hesitations of the movement, b) slight slowing, c) amplitude decrements near the end of the task.) | 2, 2 (Mild: Any of the following: a) 3 to 5 interruptions during the movements, b) mild slowness, c) amplitude decrements midway in the task.) | 3, 3 (Moderate: Any of the following: a) more than 5 interruptions during the movement or at least one longer arrest (freeze) in ongoing movement, b) moderate slowing in speed, c) amplitude decrements after the first tap.) | 4, 4 (Severe: Cannot or can only barely perform the task because of slowing, interruptions or decrements.)" NA NA
"172" "mdsupdrsarisingfrmchrscore" "mdsupdrs_physician_exam" "NP3RISNG" NA "radio" "3.9 ARISING FROM CHAIR" "0, 0 (Normal: No problems. Able to arise quickly without hesitation.) | 1, 1 (Slight: Arising is slower than normal, or may need more than one attempt, or may need to move forward in the chair to arise. No need to use the arms of the chair.) | 2, 2 (Mild: Pushes self up from arms of chair without difficulty.) | 3, 3 (Moderate: Needs to push off, but tends to fall back or may have to try more than one time using arms of chair, but can get up without help.) | 4, 4 (Severe: Unable to arise without help.)" NA NA
"173" "mdsupdrsgaitscore_spd" "mdsupdrs_physician_exam" "NP3GAIT" NA "radio" "3.10 GAIT" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Independent walking with minor gait impairment.) | 2, 2 (Mild: Independent walking but with substantial gait impairment.) | 3, 3 (Moderate: Requires an assistance device for safe walking (walking stick, walker) but not a person.) | 4, 4 (Severe: Cannot walk at all or only with another person's assistance.)" NA NA
"174" "mdsupdrsfreezinggaitscore_spd" "mdsupdrs_physician_exam" "NP3FRZGT" NA "radio" "3.11 FREEZING OF GAIT" "0, 0 (Normal: No freezing.) | 1, 1 (Slight: Freezes on starting, turning or walking through doorway with a single halt during any of these events, but then continues smoothly without freezing during straight walking.) | 2, 2 (Mild: Freezes on starting, turning or walking through doorway with more than one halt during any of these activities, but continues smoothly without freezing during straight walking.) | 3, 3 (Moderate: Freezes once during straight walking.) | 4, 4 (Severe: Freezes multiple times during straight walking.)" NA NA
"175" "mdsupdrsposstabil" "mdsupdrs_physician_exam" "NP3PSTBL" NA "radio" "3.12 POSTURAL STABILITY" "0, 0 (Normal: No problems: Recovers with one or two steps.) | 1, 1 (Slight: 3-5 steps, but subject recovers unaided.) | 2, 2 (Mild: More than 5 steps, but subject recovers unaided.) | 3, 3 (Moderate: Stands safely, but with absence of postural response; falls if not caught by examiner.) | 4, 4 (Severe: Very unstable, tends to lose balance spontaneously or with just a gentle pull on the shoulders.)" NA NA
"176" "mdsupdrsposturescore_spd" "mdsupdrs_physician_exam" "NP3POSTR" NA "radio" "3.13 POSTURE" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Not quite erect, but posture could be normal for older person.) | 2, 2 (Mild: Definite flexion, scoliosis or leaning to one side, but patient can correct posture to normal posture when asked to do so.) | 3, 3 (Moderate: Stooped posture, scoliosis or leaning to one side that cannot be corrected volitionally to a normal posture by the patient.) | 4, 4 (Severe: Flexion, scoliosis or leaning with extreme abnormality of posture.)" NA NA
"177" "mdsupdrsglblspontntymvmnts" "mdsupdrs_physician_exam" "NP3BRADY" NA "radio" "3.14 GLOBAL SPONTANEITY OF MOVEMENT (BODY BRADYKINESIA)" "0, 0 (Normal: No problems.) | 1, 1 (Slight: Slight global slowness and poverty of spontaneous movements.) | 2, 2 (Mild: Mild global slowness and poverty of spontaneous movements.) | 3, 3 (Moderate: Moderate global slowness and poverty of spontaneous movements.) | 4, 4 (Severe: Severe global slowness and poverty of spontaneous movements.)" NA NA
"178" "mdsupdrspostrltremorrthnds" "mdsupdrs_physician_exam" "NP3PTRMR" NA "radio" "3.15 POSTURAL TREMOR OF THE HANDS - Right" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"179" "mdsupdrspostrltremrlfthnds" "mdsupdrs_physician_exam" "NP3PTRML" NA "radio" "3.15 POSTURAL TREMOR OF THE HANDS - Left" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"180" "mdsupdrskinetictremrrthnds" "mdsupdrs_physician_exam" "NP3KTRMR" NA "radio" "3.16 KINETIC TREMOR OF THE HANDS - Right" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"181" "mdsupdrskinetictremrlfthnd" "mdsupdrs_physician_exam" "NP3KTRML" NA "radio" "3.16 KINETIC TREMOR OF THE HANDS - Left" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor is present but less than 1 cm in amplitude.) | 2, 2 (Mild: Tremor is at least 1 but less than 3 cm in amplitude.) | 3, 3 (Moderate: Tremor is at least 3 but less than 10 cm in amplitude.) | 4, 4 (Severe: Tremor is at least 10 cm in amplitude.)" NA NA
"182" "mdsupdrsresttremorampruesc" "mdsupdrs_physician_exam" "NP3RTARU" NA "radio" "3.17 REST TREMOR AMPLITUDE - RUE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"183" "mdsupdrsresttremorampluesc" "mdsupdrs_physician_exam" "NP3RTALU" NA "radio" "3.17 REST TREMOR AMPLITUDE - LUE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"184" "mdsupdrsresttremoramprlesc" "mdsupdrs_physician_exam" "NP3RTARL" NA "radio" "3.17 REST TREMOR AMPLITUDE - RLE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"185" "mdsupdrsresttremorampllesc" "mdsupdrs_physician_exam" "NP3RTALL" NA "radio" "3.17 REST TREMOR AMPLITUDE - LLE" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 3 cm in maximal amplitude.) | 3, 3 (Moderate: 3 - 10 cm in maximal amplitude.) | 4, 4 (Severe: > 10 cm in maximal amplitude.)" NA NA
"186" "mdsupdrsresttremramplipjaw" "mdsupdrs_physician_exam" "NP3RTALJ" NA "radio" "3.17 REST TREMOR AMPLITUDE - Lip/Jaw" "0, 0 (Normal: No tremor.) | 1, 1 (Slight.: < 1 cm in maximal amplitude.) | 2, 2 (Mild: > 1 cm but < 2 cm in maximal amplitude.) | 3, 3 (Moderate: > 2 cm but < 3 cm in maximal amplitude.) | 4, 4 (Severe: > 3 cm in maximal amplitude.)" NA NA
"187" "mdsupdrsconstncyresttremrs" "mdsupdrs_physician_exam" "NP3RTCON" NA "radio" "3.18 CONSTANCY OF REST TREMOR" "0, 0 (Normal: No tremor.) | 1, 1 (Slight: Tremor at rest is present < 25% of the entire examination period.) | 2, 2 (Mild: Tremor at rest is present 26-50% of the entire examination period.) | 3, 3 (Moderate: Tremor at rest is present 51-75% of the entire examination period.) | 4, 4 (Severe: Tremor at rest is present > 75% of the entire examination period.)" NA NA
"188" "mdsupdrsdyskchreadystnaprs" "mdsupdrs_physician_exam" "DYSKPRES" "DYSKINESIA IMPACT ON PART III RATINGS" "yesno" "A. Were dyskinesias (chorea or dystonia) present during examination?" NA NA NA
"189" "mdsupdrsmvmntintrfrncescor" "mdsupdrs_physician_exam" "DYSKIRAT" NA "yesno" "B. If yes, did these movements interfere with your ratings?" NA NA NA
"190" "mdsupdrshoehnyahrstagescor" "mdsupdrs_physician_exam" "NHY" NA "radio" "HOEHN AND YAHR STAGE" "0, 0 (Asymptomatic.) | 1, 1 (Unilateral involvement only.) | 2, 2 (Bilateral involvement without impairment of balance.) | 3, 3 (Mild to moderate involvement, some postural instability but physically independent, needs assistance to recover from pull test.) | 4, 4 (Severe disability, still able to walk or stand unassisted.) | 5, 5 (Wheelchair bound or bedridden unless aided.)" "Use clinical judgment to determine whether balance impairment is present" NA
"191" "time_mdsupdrs_off" "mdsupdrs_physician_exam" NA "Part III: Motor Examination [ON]" "text" "Current Time" NA NA "datetime_mdy"
"192" "mdsupdrsptntprknsnmedind_2" "mdsupdrs_physician_exam" "PDMEDYN" NA "yesno" "3a Is the patient on medication for treating the symptoms of Parkinson's Disease?" NA NA NA
"193" "mdsupdrsptclinstateprknsnm_2" "mdsupdrs_physician_exam" "PDSTATE" NA "radio" "3b If the patient is receiving medication for treating the symptoms of Parkinson's Disease, mark the patient's clinical state using the following definitions:" "0, ON (On is the typical functional state when patients are receiving medication and have a good response) | 1, OFF (Off is the typical functional state when patients have a poor response in spite of taking medications.)" NA NA
"194" "mdsupdrsptntuseldopaind_2" "mdsupdrs_physician_exam" "ONLDOPA" NA "yesno" "3c Is the patient on Levodopa?" NA NA NA
"195" "mdsupdrslstldopadosetm_2" "mdsupdrs_physician_exam" "LSTDSMIN" NA "text" "3.C1 If yes, minutes since last levodopa dose:" NA "Minute" "number"
"196" "mdsupdrsfreeflowspeechscor_2" "mdsupdrs_physician_exam" "NP3SPCH" NA "radio" "3.1 SPEECH" "0, 0 (Normal: No speech problems.) | 1, 1 (Slight: Loss of modulation, diction or volume, but still all words easy to understand.) | 2, 2 (Mild: Loss of modulation, diction, or volume, with a few words unclear, but the overall sentences easy to follow.) | 3, 3 (Moderate: Speech is difficult to understand to the point that some, but not most, sentences are poorly understood.) | 4, 4 (Severe: Most speech is difficult to understand or unintelligible.)" NA NA
"197" "mdsupdrsfacialexprscore_2" "mdsupdrs_physician_exam" "NP3FACXP" NA "radio" "3.2 FACIAL EXPRESSION" "0, 0 (Normal: Normal facial expression.) | 1, 1 (Slight: Minimal masked faces manifested only by decreased frequency of blinking.) | 2, 2 (Mild: In addition to decreased eye-blink frequency, Masked faces present in the lower face as well, namely fewer movements around the mouth, such as less spontaneous smiling, but lips not parted.) | 3, 3 (Moderate: Masked faces with lips parted some of the time when the mouth is at rest.) | 4, 4 (Severe: Masked faces with lips parted most of the time when the mouth is at rest.)" NA NA
"198" "mdsupdrsrigidityneck_2" "mdsupdrs_physician_exam" "NP3RIGN" NA "radio" "3.3 RIGIDITY - Neck" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
"199" "mdsupdrsrigidityrue_2" "mdsupdrs_physician_exam" "NP3RIGRU" NA "radio" "3.3 RIGIDITY - RUE" "0, 0 (Normal: No rigidity.) | 1, 1 (Slight: Rigidity only detected with activation maneuver.) | 2, 2 (Mild: Rigidity detected without the activation maneuver, but full range of motion is easily achieved.) | 3, 3 (Moderate: Rigidity detected without the activation maneuver; full range of motion is achieved with effort.) | 4, 4 (Severe: Rigidity detected without the activation maneuver and full range of motion not achieved.)" NA NA
